time,cpu,mem
1575001489.3691952,30.0,12.5
1575001490.370511,25.2,12.7
1575001491.3719618,7.7,12.7
1575001492.3736675,2.0,12.7
1575001493.375376,1.4,12.7
1575001494.3773181,1.6,12.6
1575001495.3786619,27.3,13.1
1575001496.380088,14.8,15.9
1575001497.3813398,35.3,16.1
1575001498.382572,38.1,16.0
1575001499.3839226,40.3,16.1
1575001500.385175,39.5,16.1
1575001501.3863995,38.9,16.0
1575001502.3866732,39.8,16.0
1575001503.387937,40.5,16.1
1575001504.3892071,39.1,16.1
1575001505.3905265,39.8,16.0
1575001506.3917778,41.1,16.1
1575001507.3930418,37.2,16.0
1575001508.394307,38.7,16.1
1575001509.3956795,31.0,16.1
1575001510.3966875,25.3,12.4
1575001511.3978047,23.9,12.5
1575001512.3986974,23.0,12.5
1575001513.39999,22.4,12.5
1575001514.4013247,22.6,12.5
1575001515.4026105,21.4,12.5
1575001516.4039278,21.3,12.5
1575001517.4053361,23.3,12.5
1575001518.4065573,24.1,12.8
1575001519.4079456,24.8,12.6
1575001520.409547,4.7,12.6
1575001521.4106693,25.7,12.7
1575001522.412126,15.8,13.3
1575001523.4134235,4.1,13.3
1575001524.4151664,3.0,13.3
1575001525.4168653,8.8,16.0
1575001526.4181387,22.5,16.2
1575001527.4186656,36.9,16.2
1575001528.4199169,35.3,16.2
1575001529.4212406,38.5,16.2
1575001530.4225228,37.5,16.2
1575001531.4238572,36.6,16.2
1575001532.4251802,36.7,16.2
1575001533.4264905,37.3,16.2
1575001534.4277985,36.5,16.2
1575001535.4290867,36.4,16.2
1575001536.4304585,35.9,16.2
1575001537.4317226,39.4,16.2
1575001538.4331439,36.8,16.2
1575001539.434453,34.2,16.2
1575001540.435837,18.0,12.6
1575001541.4371035,17.6,12.6
1575001542.4383702,13.8,12.6
1575001543.4396482,14.4,12.6
1575001544.4410167,13.5,12.6
1575001545.4423165,15.3,12.6
1575001546.443566,13.7,12.7
1575001547.4448416,6.8,12.6
1575001548.4467814,1.9,12.6
1575001549.4484818,6.7,12.6
1575001550.4490137,41.0,12.7
1575001551.4503646,27.4,12.5
1575001552.4506588,29.4,12.5
1575001553.451911,29.1,12.5
1575001554.4531658,29.7,12.5
1575001555.4545903,26.1,12.7
1575001556.456359,11.3,12.7
1575001557.45817,2.6,12.7
1575001558.460048,1.4,12.7
1575001559.4617183,2.4,12.5
1575001560.4630063,30.7,13.1
1575001561.464372,13.3,16.0
1575001562.4656072,38.7,16.0
1575001563.4666843,36.8,16.0
1575001564.4679177,39.2,16.0
1575001565.4691472,37.4,16.0
1575001566.4703956,40.0,16.0
1575001567.4717364,37.0,16.0
1575001568.4729662,40.6,16.0
1575001569.4742372,39.7,16.0
1575001570.4746919,37.4,16.0
1575001571.4759803,38.1,16.0
1575001572.477231,38.9,16.0
1575001573.4785466,37.7,16.0
1575001574.479032,22.0,12.4
1575001575.4797685,24.5,12.4
1575001576.481054,19.6,12.4
1575001577.4823356,21.2,12.4
1575001578.4828928,19.7,12.4
1575001579.4841316,22.0,12.4
1575001580.4853654,20.3,12.4
1575001581.4866018,21.4,12.4
1575001582.4880047,22.6,12.8
1575001583.4894047,28.8,12.6
1575001584.4907546,4.8,12.6
1575001585.4924424,5.7,12.6
1575001586.4938102,27.0,12.9
1575001587.495181,12.0,13.3
1575001588.4969056,3.5,13.3
1575001589.4987423,3.8,13.3
1575001590.50044,8.9,15.9
1575001591.501684,23.4,16.1
1575001592.5026689,37.3,16.2
1575001593.5039794,36.6,16.2
1575001594.5053,35.2,16.2
1575001595.5066059,36.9,16.2
1575001596.5079594,36.0,16.2
1575001597.5092664,37.9,16.2
1575001598.5105891,37.0,16.1
1575001599.511873,37.1,16.2
1575001600.5131204,36.9,16.1
1575001601.5144176,37.1,16.2
1575001602.5157022,37.9,16.2
1575001603.5170445,36.4,16.1
1575001604.5183232,33.1,16.2
1575001605.518725,19.0,12.7
1575001606.5194845,17.2,12.6
1575001607.5207121,15.6,12.6
1575001608.5210724,15.9,12.6
1575001609.52147,14.6,12.6
1575001610.522735,15.5,12.6
1575001611.5232015,14.0,12.6
1575001612.5245469,9.5,12.6
1575001613.5263014,2.0,12.6
1575001614.5280807,1.9,12.6
1575001615.529769,40.4,12.6
1575001616.530678,29.9,12.4
1575001617.531963,29.7,12.4
1575001618.5332296,30.9,12.4
1575001619.5345118,29.7,12.4
1575001620.5358038,30.3,12.4
1575001621.5371358,8.6,12.6
1575001622.5388546,1.4,12.6
1575001623.5405817,1.4,12.6
1575001624.5423238,1.4,12.6
1575001625.5442014,1.9,12.6
1575001626.545893,20.1,12.9
1575001627.5471458,21.5,15.8
1575001628.5483568,32.2,16.0
1575001629.5496757,38.6,16.0
1575001630.5506582,41.2,16.0
1575001631.5519361,39.1,16.0
1575001632.5531623,38.2,16.0
1575001633.554431,38.0,16.0
1575001634.5556946,38.6,16.1
1575001635.5569308,40.5,16.1
1575001636.5581663,40.0,16.0
1575001637.5586603,40.0,16.0
1575001638.5598986,39.0,16.0
1575001639.5611684,37.5,16.0
1575001640.561594,24.9,12.4
1575001641.5619497,26.7,12.4
1575001642.562679,21.4,12.4
1575001643.5640252,20.1,12.4
1575001644.565364,20.8,12.4
1575001645.5666633,20.6,12.4
1575001646.5679572,20.8,12.4
1575001647.5692887,22.0,12.4
1575001648.5706708,22.8,12.4
1575001649.572006,27.9,12.8
1575001650.5734458,15.6,12.6
1575001651.5748482,1.8,12.6
1575001652.576399,9.4,12.8
1575001653.5778472,23.0,12.9
1575001654.5792181,9.8,13.2
1575001655.5813816,4.3,13.2
1575001656.5834188,3.9,13.2
1575001657.5850947,12.5,16.0
1575001658.5864105,33.0,16.2
1575001659.5877142,38.2,16.1
1575001660.5890036,36.0,16.1
1575001661.5902565,34.2,16.2
1575001662.5906641,37.0,16.1
1575001663.5919096,36.5,16.2
1575001664.5932653,35.6,16.2
1575001665.5945103,38.6,16.1
1575001666.5957773,35.6,16.1
1575001667.5971143,36.2,16.1
1575001668.598369,37.5,16.2
1575001669.5986693,39.0,16.2
1575001670.5999944,36.1,16.2
1575001671.6012921,26.8,12.5
1575001672.602525,15.0,12.6
1575001673.6038249,15.4,12.6
1575001674.6051056,14.7,12.6
1575001675.6063821,14.7,12.6
1575001676.6066601,13.8,12.6
1575001677.607902,13.9,12.6
1575001678.6093497,13.3,12.6
1575001679.6110263,2.1,12.6
1575001680.6127179,2.3,12.6
1575001681.613405,22.4,12.6
1575001682.614655,34.6,12.4
1575001683.6159654,29.4,12.4
1575001684.6172523,29.6,12.4
1575001685.6185782,29.5,12.4
1575001686.6199386,29.6,12.4
1575001687.621301,25.1,12.6
1575001688.6227539,4.7,12.6
1575001689.6244674,1.0,12.6
1575001690.626323,1.5,12.6
1575001691.6282368,1.9,12.6
1575001692.6299884,15.0,12.7
1575001693.6312299,21.6,15.7
1575001694.6324496,22.1,16.0
1575001695.6336854,37.1,16.0
1575001696.634661,37.0,16.0
1575001697.635888,39.6,16.0
1575001698.6371396,37.4,16.1
1575001699.6384025,37.9,16.0
1575001700.6396792,38.6,16.0
1575001701.640919,40.7,16.0
1575001702.6422348,36.9,16.1
1575001703.642658,38.8,16.0
1575001704.6438808,37.5,16.0
1575001705.6451163,39.5,16.0
1575001706.646393,32.2,16.0
1575001707.6474233,24.6,12.4
1575001708.6485553,23.0,12.4
1575001709.6498637,22.7,12.4
1575001710.650671,20.9,12.4
1575001711.6520247,21.4,12.4
1575001712.6533473,21.7,12.4
1575001713.6546347,21.1,12.4
1575001714.6558795,22.5,12.4
1575001715.6571457,24.8,12.8
1575001716.6584463,22.2,12.4
1575001717.6598892,2.6,12.6
1575001718.6615915,14.2,12.6
1575001719.6628554,23.2,13.1
1575001720.6641867,6.9,13.3
1575001721.666166,3.9,13.3
1575001722.6679144,7.6,15.9
1575001723.669155,17.1,16.1
1575001724.6705685,37.9,16.1
1575001725.6719258,34.8,16.1
1575001726.673179,36.4,16.2
1575001727.6736956,36.3,16.2
1575001728.6746664,35.5,16.2
1575001729.6759055,35.2,16.2
1575001730.677159,37.1,16.1
1575001731.6784368,36.4,16.1
1575001732.6797764,36.5,16.2
1575001733.6810222,35.9,16.1
1575001734.6823895,35.0,16.2
1575001735.6826637,35.5,16.1
1575001736.6839685,32.3,16.2
1575001737.6846647,21.5,12.8
1575001738.6859112,16.3,12.6
1575001739.687155,14.5,12.6
1575001740.6883826,15.8,12.6
1575001741.6896534,13.9,12.6
1575001742.6907213,14.5,12.6
1575001743.6915638,13.4,12.6
1575001744.6929913,9.8,12.6
1575001745.6947412,2.3,12.6
1575001746.696561,2.0,12.6
1575001747.6982243,40.0,12.6
1575001748.6995351,28.6,12.4
1575001749.7008421,30.5,12.4
1575001750.702144,30.8,12.4
1575001751.702673,29.5,12.4
1575001752.7041469,26.7,12.6
1575001753.7059848,5.9,12.6
1575001754.7076979,4.0,12.6
1575001755.709524,1.3,12.6
1575001756.711231,14.2,12.7
1575001757.712468,22.3,14.9
1575001758.7137196,23.1,16.0
1575001759.7146583,39.9,16.0
1575001760.715926,36.7,16.0
1575001761.717148,37.4,16.0
1575001762.7184029,38.6,16.0
1575001763.719711,40.5,16.0
1575001764.7210076,36.3,16.1
1575001765.7223175,38.7,16.0
1575001766.7226586,39.7,16.1
1575001767.723935,39.3,16.1
1575001768.7251778,37.0,16.0
1575001769.7264612,39.5,16.1
1575001770.7277637,33.8,16.0
1575001771.7285814,24.7,12.4
1575001772.7296424,23.5,12.4
1575001773.7306726,21.7,12.4
1575001774.7320518,21.3,12.4
1575001775.7334266,22.1,12.4
1575001776.7347379,20.7,12.4
